,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
91,ap-northeast-1,m1.medium,0.122,0.065,0.074,0.066,,,,0.041,0.044
92,ap-southeast-2,m1.medium,0.117,0.065,0.078,0.066,,,,0.041,0.044
93,sa-east-1,m1.medium,0.117,0.057,0.068,0.058,,,,0.040,0.042
94,us-east-1,m1.large,0.175,0.095,0.112,0.097,,,,0.059,0.063
95,us-west-2,m1.large,0.175,0.095,0.112,0.097,,,,0.059,0.063
96,us-west-1,m1.large,0.19,0.118,0.136,0.120,,,,0.075,0.080
97,eu-west-1,m1.large,0.19,0.118,0.136,0.120,,,,0.075,0.080
98,ap-southeast-1,m1.large,0.233,0.128,0.156,0.131,,,,0.082,0.087
99,ap-northeast-1,m1.large,0.243,0.129,0.148,0.131,,,,0.082,0.087
100,ap-southeast-2,m1.large,0.233,0.128,0.156,0.131,,,,0.082,0.087
101,sa-east-1,m1.large,0.233,0.113,0.136,0.116,,,,0.081,0.086
102,us-east-1,m1.xlarge,0.35,0.191,0.224,0.195,,,,0.117,0.124
103,us-west-2,m1.xlarge,0.35,0.191,0.224,0.195,,,,0.117,0.124
104,us-west-1,m1.xlarge,0.379,0.235,0.272,0.240,,,,0.150,0.159
105,eu-west-1,m1.xlarge,0.379,0.235,0.272,0.240,,,,0.150,0.159
106,ap-southeast-1,m1.xlarge,0.467,0.257,0.312,0.262,,,,0.164,0.175
107,ap-northeast-1,m1.xlarge,0.486,0.256,0.296,0.261,,,,0.164,0.175
108,ap-southeast-2,m1.xlarge,0.467,0.257,0.312,0.262,,,,0.164,0.175
109,sa-east-1,m1.xlarge,0.467,0.227,0.272,0.232,,,,0.161,0.171
110,us-east-1,m3.medium,0.067,0.040,0.048,0.041,0.036,0.043,0.037,0.026,0.028
111,us-west-2,m3.medium,0.067,0.040,0.048,0.041,0.036,0.043,0.037,0.026,0.028
112,us-west-1,m3.medium,0.077,0.053,0.058,0.054,0.048,0.052,0.049,0.034,0.036
113,eu-west-1,m3.medium,0.073,0.050,0.055,0.051,0.045,0.050,0.046,0.034,0.036
114,eu-central-1,m3.medium,0.079,0.054,0.060,0.055,0.048,0.054,0.050,0.036,0.039
115,ap-southeast-1,m3.medium,0.098,0.058,0.068,0.059,0.052,0.061,0.053,0.037,0.039
116,ap-northeast-1,m3.medium,0.096,0.054,0.064,0.055,0.048,0.058,0.049,0.037,0.039
117,ap-southeast-2,m3.medium,0.093,0.055,0.065,0.056,0.050,0.059,0.050,0.037,0.039
118,sa-east-1,m3.medium,0.095,0.051,0.060,0.052,0.046,0.054,0.047,0.036,0.038
119,us-east-1,m3.large,0.133,0.081,0.095,0.083,0.073,0.086,0.075,0.052,0.056
120,us-west-2,m3.large,0.133,0.081,0.095,0.083,0.073,0.086,0.075,0.052,0.056
121,us-west-1,m3.large,0.154,0.105,0.116,0.108,0.095,0.104,0.097,0.067,0.072
122,eu-west-1,m3.large,0.146,0.100,0.110,0.102,0.090,0.099,0.092,0.067,0.072
123,eu-central-1,m3.large,0.158,0.108,0.120,0.110,0.097,0.108,0.099,0.073,0.077
124,ap-southeast-1,m3.large,0.196,0.116,0.136,0.118,0.104,0.122,0.106,0.074,0.078
125,ap-northeast-1,m3.large,0.193,0.109,0.127,0.111,0.098,0.114,0.100,0.074,0.079
126,ap-southeast-2,m3.large,0.186,0.110,0.129,0.112,0.099,0.116,0.101,0.074,0.078
127,sa-east-1,m3.large,0.19,0.101,0.120,0.103,0.091,0.108,0.093,0.073,0.078
128,us-east-1,m3.xlarge,0.266,0.163,0.190,0.166,0.147,0.171,0.150,0.105,0.111
129,us-west-2,m3.xlarge,0.266,0.163,0.190,0.166,0.147,0.171,0.150,0.105,0.111
130,us-west-1,m3.xlarge,0.308,0.210,0.232,0.214,0.189,0.209,0.193,0.135,0.143
131,eu-west-1,m3.xlarge,0.293,0.199,0.220,0.203,0.179,0.198,0.183,0.134,0.142
132,eu-central-1,m3.xlarge,0.315,0.215,0.239,0.219,0.194,0.215,0.197,0.144,0.154
133,ap-southeast-1,m3.xlarge,0.392,0.231,0.272,0.236,0.208,0.245,0.212,0.147,0.156
134,ap-northeast-1,m3.xlarge,0.385,0.218,0.255,0.223,0.196,0.230,0.200,0.147,0.156
135,ap-southeast-2,m3.xlarge,0.372,0.220,0.258,0.224,0.198,0.232,0.202,0.147,0.156
136,sa-east-1,m3.xlarge,0.381,0.203,0.240,0.207,0.183,0.216,0.187,0.145,0.154
137,us-east-1,m3.2xlarge,0.532,0.324,0.380,0.331,0.292,0.342,0.298,0.209,0.222
